angle,fps
131.39882,735.48193
131.49883,735.7824
131.59883,729.694
131.69884,727.44495
131.79884,750.78516
131.89885,753.2306
131.99886,731.1092
132.09886,732.3307
132.19887,732.2305
132.29887,740.6898
132.39888,737.44354
132.49889,740.3585
132.59889,744.27356
132.6989,746.27246
132.7989,735.96814
132.89891,741.35486
132.99892,761.83307
133.09892,758.76746
133.19893,756.9469
133.29893,739.3935
133.39894,739.9818
133.49895,738.23474
133.59895,740.57697
133.69896,742.6805
133.79897,750.66425
133.89897,744.42004
133.99898,739.15015
134.09898,742.51404
134.19899,746.1966
134.299,764.09827
134.399,763.77155
134.49901,745.052
134.59901,740.6417
134.69902,737.3733
134.79903,738.1691
134.89903,741.29535
134.99904,742.52875
135.09904,741.0372
135.19905,741.6842
135.29906,741.4917
135.39906,740.4559
135.49907,759.41675
135.59908,765.9504
135.69908,749.47577
135.79909,745.35834
135.8991,742.23206
135.9991,741.5993
136.0991,742.9855
136.19911,737.8351
136.29912,736.43835
136.39912,738.22943
136.49913,737.18066
136.59914,738.18176
136.69914,754.20935
136.79915,754.5638
136.89915,749.7792
136.99916,735.3751
137.09917,736.67365
137.19917,736.1833
137.29918,735.05444
137.39919,739.0045
137.49919,738.09045
137.5992,736.90485
137.6992,738.9425
137.79921,739.175
137.89922,744.403
137.99922,759.5677
138.09923,757.16077
138.19923,741.7465
138.29924,744.78577
138.39925,739.4297
138.49925,738.72955
138.59926,740.5973
138.69926,739.20984
138.79927,740.5645
138.89928,740.50165
138.99928,740.4627
139.09929,742.2327
139.1993,759.90045
139.2993,757.12616
139.3993,740.1461
139.49931,743.5066
139.59932,737.0062
139.69933,732.6146
139.79933,730.31085
139.89934,729.2192
139.99934,730.76355
